year, mo,    data_type, region, extent,   area
1979,  1,      Goddard,      N,  15.60,  12.36
1980,  1,      Goddard,      N,  15.05,  11.88
1981,  1,      Goddard,      N,  15.11,  11.85
1982,  1,      Goddard,      N,  15.34,  12.13
1983,  1,      Goddard,      N,  15.16,  11.94
1984,  1,      Goddard,      N,  14.69,  11.62
1985,  1,      Goddard,      N,  14.96,  11.64
1986,  1,      Goddard,      N,  15.12,  11.82
1987,  1,      Goddard,      N,  15.28,  11.84
1988,  1,        -9999,      N,  -9999,  -9999
1989,  1,      Goddard,      N,  15.23,  13.14
1990,  1,      Goddard,      N,  15.07,  12.76
1991,  1,      Goddard,      N,  14.58,  12.53
1992,  1,      Goddard,      N,  14.86,  12.58
1993,  1,      Goddard,      N,  15.20,  12.89
1994,  1,      Goddard,      N,  14.94,  12.84
1995,  1,      Goddard,      N,  14.74,  12.75
1996,  1,      Goddard,      N,  14.35,  12.11
1997,  1,      Goddard,      N,  14.62,  12.35
1998,  1,      Goddard,      N,  14.94,  12.77
1999,  1,      Goddard,      N,  14.57,  12.57
2000,  1,      Goddard,      N,  14.54,  12.26
2001,  1,      Goddard,      N,  14.42,  12.31
2002,  1,      Goddard,      N,  14.57,  12.22
2003,  1,      Goddard,      N,  14.59,  12.25
2004,  1,      Goddard,      N,  14.15,  12.22
2005,  1,      Goddard,      N,  13.81,  11.88
2006,  1,      Goddard,      N,  13.72,  11.61
2007,  1,      Goddard,      N,  13.89,  11.82
2008,  1,      Goddard,      N,  14.14,  12.25
2009,  1,      Goddard,      N,  14.19,  12.27
2010,  1,      Goddard,      N,  13.91,  11.99
2011,  1,      Goddard,      N,  13.69,  11.79
2012,  1,      Goddard,      N,  13.86,  12.17
2013,  1,      Goddard,      N,  13.91,  11.98
2014,  1,      Goddard,      N,  13.86,  12.05
2015,  1,      Goddard,      N,  13.75,  12.13
2016,  1,      NRTSI-G,      N,  13.64,  11.68
1979,  2,      Goddard,      N,  16.38,  13.14
1980,  2,      Goddard,      N,  16.07,  12.85
1981,  2,      Goddard,      N,  15.75,  12.48
1982,  2,      Goddard,      N,  16.14,  12.82
1983,  2,      Goddard,      N,  16.10,  12.89
1984,  2,      Goddard,      N,  15.42,  12.20
1985,  2,      Goddard,      N,  15.77,  12.42
1986,  2,      Goddard,      N,  15.99,  12.56
1987,  2,      Goddard,      N,  16.21,  12.97
1988,  2,      Goddard,      N,  15.73,  13.53
1989,  2,      Goddard,      N,  15.67,  13.32
1990,  2,      Goddard,      N,  15.69,  13.37
1991,  2,      Goddard,      N,  15.37,  13.18
1992,  2,      Goddard,      N,  15.62,  13.54
1993,  2,      Goddard,      N,  15.85,  13.58
1994,  2,      Goddard,      N,  15.72,  13.49
1995,  2,      Goddard,      N,  15.37,  13.33
1996,  2,      Goddard,      N,  15.32,  12.94
1997,  2,      Goddard,      N,  15.63,  13.40
1998,  2,      Goddard,      N,  15.90,  13.73
1999,  2,      Goddard,      N,  15.48,  13.42
2000,  2,      Goddard,      N,  15.30,  13.06
2001,  2,      Goddard,      N,  15.42,  13.18
2002,  2,      Goddard,      N,  15.47,  13.39
2003,  2,      Goddard,      N,  15.35,  13.20
2004,  2,      Goddard,      N,  15.04,  12.91
2005,  2,      Goddard,      N,  14.50,  12.31
2006,  2,      Goddard,      N,  14.54,  12.32
2007,  2,      Goddard,      N,  14.65,  12.55
2008,  2,      Goddard,      N,  15.09,  13.17
2009,  2,      Goddard,      N,  14.93,  13.17
2010,  2,      Goddard,      N,  14.70,  12.92
2011,  2,      Goddard,      N,  14.49,  12.72
2012,  2,      Goddard,      N,  14.70,  12.68
2013,  2,      Goddard,      N,  14.81,  13.16
2014,  2,      Goddard,      N,  14.55,  12.51
2015,  2,      Goddard,      N,  14.51,  12.81
2016,  2,      NRTSI-G,      N,  14.32,  12.29
1979,  3,      Goddard,      N,  16.52,  13.16
1980,  3,      Goddard,      N,  16.21,  12.94
1981,  3,      Goddard,      N,  15.70,  12.65
1982,  3,      Goddard,      N,  16.23,  13.02
1983,  3,      Goddard,      N,  16.19,  12.87
1984,  3,      Goddard,      N,  15.72,  12.50
1985,  3,      Goddard,      N,  16.14,  12.68
1986,  3,      Goddard,      N,  16.16,  12.68
1987,  3,      Goddard,      N,  16.02,  12.78
1988,  3,      Goddard,      N,  16.23,  13.87
1989,  3,      Goddard,      N,  15.62,  13.17
1990,  3,      Goddard,      N,  15.99,  13.47
1991,  3,      Goddard,      N,  15.60,  13.38
1992,  3,      Goddard,      N,  15.62,  13.44
1993,  3,      Goddard,      N,  15.98,  13.74
1994,  3,      Goddard,      N,  15.71,  13.51
1995,  3,      Goddard,      N,  15.44,  13.31
1996,  3,      Goddard,      N,  15.25,  12.87
1997,  3,      Goddard,      N,  15.69,  13.27
1998,  3,      Goddard,      N,  15.78,  13.53
1999,  3,      Goddard,      N,  15.52,  13.51
2000,  3,      Goddard,      N,  15.38,  13.13
2001,  3,      Goddard,      N,  15.72,  13.61
2002,  3,      Goddard,      N,  15.54,  13.39
2003,  3,      Goddard,      N,  15.61,  13.39
2004,  3,      Goddard,      N,  15.15,  12.96
2005,  3,      Goddard,      N,  14.85,  12.71
2006,  3,      Goddard,      N,  14.54,  12.47
2007,  3,      Goddard,      N,  14.76,  12.52
2008,  3,      Goddard,      N,  15.33,  13.50
2009,  3,      Goddard,      N,  15.21,  13.38
2010,  3,      Goddard,      N,  15.19,  13.49
2011,  3,      Goddard,      N,  14.67,  12.78
2012,  3,      Goddard,      N,  15.31,  13.37
2013,  3,      Goddard,      N,  15.16,  13.41
2014,  3,      Goddard,      N,  14.87,  12.91
2015,  3,      Goddard,      N,  14.49,  12.73
2016,  3,      NRTSI-G,      N,  14.53,  12.48
1979,  4,      Goddard,      N,  15.56,  12.46
1980,  4,      Goddard,      N,  15.55,  12.46
1981,  4,      Goddard,      N,  15.19,  12.18
1982,  4,      Goddard,      N,  15.62,  12.57
1983,  4,      Goddard,      N,  15.36,  12.13
1984,  4,      Goddard,      N,  15.23,  12.12
1985,  4,      Goddard,      N,  15.41,  12.48
1986,  4,      Goddard,      N,  15.23,  11.97
1987,  4,      Goddard,      N,  15.38,  12.29
1988,  4,      Goddard,      N,  15.32,  13.14
1989,  4,      Goddard,      N,  14.53,  12.29
1990,  4,      Goddard,      N,  14.79,  12.20
1991,  4,      Goddard,      N,  15.03,  12.82
1992,  4,      Goddard,      N,  14.80,  12.78
1993,  4,      Goddard,      N,  15.30,  12.98
1994,  4,      Goddard,      N,  15.07,  12.87
1995,  4,      Goddard,      N,  14.71,  12.35
1996,  4,      Goddard,      N,  14.35,  12.26
1997,  4,      Goddard,      N,  14.69,  12.51
1998,  4,      Goddard,      N,  14.99,  12.79
1999,  4,      Goddard,      N,  15.24,  13.11
2000,  4,      Goddard,      N,  14.75,  12.55
2001,  4,      Goddard,      N,  14.97,  13.01
2002,  4,      Goddard,      N,  14.46,  12.37
2003,  4,      Goddard,      N,  14.68,  12.42
2004,  4,      Goddard,      N,  14.20,  12.11
2005,  4,      Goddard,      N,  14.18,  12.19
2006,  4,      Goddard,      N,  14.07,  11.99
2007,  4,      Goddard,      N,  13.97,  11.78
2008,  4,      Goddard,      N,  14.49,  12.72
2009,  4,      Goddard,      N,  14.64,  12.88
2010,  4,      Goddard,      N,  14.76,  12.80
2011,  4,      Goddard,      N,  14.22,  12.40
2012,  4,      Goddard,      N,  14.78,  12.82
2013,  4,      Goddard,      N,  14.44,  12.69
2014,  4,      Goddard,      N,  14.25,  12.38
2015,  4,      Goddard,      N,  13.98,  12.29
2016,  4,      NRTSI-G,      N,  13.83,  11.89
1979,  5,      Goddard,      N,  14.09,  11.05
1980,  5,      Goddard,      N,  14.08,  10.90
1981,  5,      Goddard,      N,  13.92,  10.94
1982,  5,      Goddard,      N,  14.18,  11.11
1983,  5,      Goddard,      N,  13.57,  10.81
1984,  5,      Goddard,      N,  13.70,  10.82
1985,  5,      Goddard,      N,  14.26,  11.20
1986,  5,      Goddard,      N,  13.55,  10.64
1987,  5,      Goddard,      N,  13.85,  10.92
1988,  5,      Goddard,      N,  13.75,  11.37
1989,  5,      Goddard,      N,  13.05,  11.31
1990,  5,      Goddard,      N,  13.36,  10.86
1991,  5,      Goddard,      N,  13.58,  11.46
1992,  5,      Goddard,      N,  13.31,  11.38
1993,  5,      Goddard,      N,  13.60,  11.37
1994,  5,      Goddard,      N,  13.82,  11.62
1995,  5,      Goddard,      N,  13.22,  10.87
1996,  5,      Goddard,      N,  13.14,  11.24
1997,  5,      Goddard,      N,  13.39,  11.19
1998,  5,      Goddard,      N,  13.86,  11.37
1999,  5,      Goddard,      N,  13.92,  11.63
2000,  5,      Goddard,      N,  13.26,  11.19
2001,  5,      Goddard,      N,  13.78,  11.34
2002,  5,      Goddard,      N,  13.18,  11.13
2003,  5,      Goddard,      N,  13.09,  10.84
2004,  5,      Goddard,      N,  12.64,  10.87
2005,  5,      Goddard,      N,  13.07,  10.85
2006,  5,      Goddard,      N,  12.68,  10.41
2007,  5,      Goddard,      N,  12.96,  10.73
2008,  5,      Goddard,      N,  13.23,  11.21
2009,  5,      Goddard,      N,  13.43,  11.44
2010,  5,      Goddard,      N,  13.17,  10.84
2011,  5,      Goddard,      N,  12.88,  10.70
2012,  5,      Goddard,      N,  13.16,  11.01
2013,  5,      Goddard,      N,  13.13,  11.22
2014,  5,      Goddard,      N,  12.80,  11.00
2015,  5,      Goddard,      N,  12.69,  10.86
2016,  5,      NRTSI-G,      N,  12.08,  10.14
1979,  6,      Goddard,      N,  12.65,   9.30
1980,  6,      Goddard,      N,  12.37,   8.95
1981,  6,      Goddard,      N,  12.62,   8.98
1982,  6,      Goddard,      N,  12.75,   9.42
1983,  6,      Goddard,      N,  12.39,   9.21
1984,  6,      Goddard,      N,  12.25,   9.04
1985,  6,      Goddard,      N,  12.45,   8.90
1986,  6,      Goddard,      N,  12.14,   8.94
1987,  6,      Goddard,      N,  12.61,   9.34
1988,  6,      Goddard,      N,  12.11,   9.65
1989,  6,      Goddard,      N,  12.37,   9.92
1990,  6,      Goddard,      N,  11.77,   9.15
1991,  6,      Goddard,      N,  12.29,   9.62
1992,  6,      Goddard,      N,  12.20,   9.91
1993,  6,      Goddard,      N,  12.07,   9.23
1994,  6,      Goddard,      N,  12.16,   9.65
1995,  6,      Goddard,      N,  11.66,   8.91
1996,  6,      Goddard,      N,  12.17,   9.80
1997,  6,      Goddard,      N,  11.99,   9.17
1998,  6,      Goddard,      N,  11.95,   9.14
1999,  6,      Goddard,      N,  12.19,   9.21
2000,  6,      Goddard,      N,  11.80,   9.02
2001,  6,      Goddard,      N,  11.75,   9.04
2002,  6,      Goddard,      N,  11.77,   9.16
2003,  6,      Goddard,      N,  11.85,   9.08
2004,  6,      Goddard,      N,  11.58,   9.21
2005,  6,      Goddard,      N,  11.38,   8.77
